NousResearch/Hermes-3-Llama-3.1-8B		NousResearch/Hermes-3-Llama-3.1-8B
		
NER		entity_f1: 0
		
FINER-ORD		entity_f1: 0.0176; f1: 0.0465
		
FinRED		precision: 0.0017; recall: 0.0043; f1: 0.0025
		
SC		acc: 0.7503 ± 0.0047; missing: 0.0002 ± 0.0002; f1: 0.8089; macro_f1: 0.5263; mcc: 0.1399
		
CD		entity_f1: 0.0000; f1: 0.0024
		
FNXL		entity_f1: 0.000; f1: 0.028
		
FSRL		entity_f1: 0.0045; f1: 0.0269
		
FPB		acc: 0.7206 ± 0.0144; missing: 0.0000 ± 0.0000; f1: 0.7265; macro_f1: 0.7350; mcc: 0.5278
		
FiQA-SA		acc: 0.7277 ± 0.0291; missing: 0.0000 ± 0.0000; f1: 0.7678; macro_f1: 0.6251; mcc: 0.5679
		
TSA		rmse: 0.3133; missing: 0.0000 ± 0
		
Headlines		avg_f1: 0.5995
		
FOMC		acc: 0.6190 ± 0.0218; missing: 0.0000 ± 0.0000; f1: 0.6149; macro_f1: 0.5980; mcc: 0.3998
		
FinArg-ACC		acc: 0.5562 ± 0.0160; missing: 0.0021 ± 0.0015; f1: 0.5205; macro_f1: 0.5134; mcc: 0.1049
		
FinArg-ARC		acc:  0.6449 ± 0.0182; missing: 0.0000 ± 0.0000; f1: 0.5829; macro_f1: 0.3304; mcc: -0.0046
		
MultiFin		acc: 0.5989 ± 0.021; missing: 0.0000 ± 0.000; f1: 0.5892; macro_f1: 0.5694; mcc: 0.5171
		
MA		acc: 0.8280 ± 0.0169; missing: 0.0000 ± 0.0000; f1: 0.8264; macro_f1: 0.8264; mcc: 0.6684
		
MLESG		acc: 0.4000 ± 0.0283; missing: 0.0033 ± 0.0033; f1: 0.3520; macro_f1: 0.3166; mcc: 0.3759
		
FinQA		acc: 0 ± 0
		
TATQA		acc: 0.0006 ± 0.0006
		
Regulations		
		
ConvFinQA		acc: 0 ± 0
		
EDTSUM		Can't get BARTScore; unpickling error
		
ECTSUM		Can't get BARTScore; unpickling error
		
BigData22		acc: 0.5217 ± 0.013; missing: 0.0000 ± 0.000; f1: 0.5206; macro_f1: 0.5143; mcc: 0.0290
		
ACL18		acc:  0.4997 ± 0.0082; missing: 0.0000 ± 0.0000; f1: 0.4780; macro_f1: 0.4750; mcc: -0.0121
		
CIKM18		acc:  0.5407 ± 0.0147; missing: 0.0000 ± 0.0000; f1: 0.5029; macro_f1: 0.4721; mcc: -0.0111
		
German		acc:  0.3300 ± 0.0333; missing: 0.0000 ± 0.0000; f1: 0.1931; macro_f1: 0.2637; mcc: -0.1228
		
Australian		acc:  0.4101 ± 0.0419; missing: 0.0000 ± 0.0000; f1: 0.4064; macro_f1: 0.4093; mcc: -0.1562
		
LendingClub		acc: 0.5515 ± 0.0096; missing: 0.0000 ± 0.0000; f1: 0.5987; macro_f1: 0.5033; mcc: 0.1258
		
ccf		acc: 0.1101 ± 0.0066; missing: 0.0000 ± 0.0000; f1: 0.1963; macro_f1: 0.0997; mcc: 0.0127
		
ccfraud		acc:  0.7183 ± 0.0098; missing: 0.0000 ± 0.0000; f1: 0.7894; macro_f1: 0.4545; mcc: -0.0295
		
polish		acc: 0.9488 ± 0.0053; missing: 0.0000 ± 0.0000; f1: 0.9238; macro_f1: 0.4869; mcc: 0.0000
		
taiwan		acc: 0.9678 ± 0.0048; missing: 0.0000 ± 0.0000; f1: 0.9519; macro_f1: 0.4918; mcc: 0.0000
		
portoseguro		acc: 0.4362 ± 0.0102; missing: 0.0000 ± 0.0000; f1: 0.5813; macro_f1: 0.3282; mcc: 0.0052
		
travelinsurance		acc: 0.0150 ± 0.0024; missing: 0.0000 ± 0.0000; f1: 0.0004; macro_f1: 0.0148; mcc: 0.0000
		
ES_FinanceES		acc:  0.1779 ± 0.0048; missing: 0.1697 ± 0.0047; f1: 0.1887; macro_f1: 0.1826; mcc: -0.3001
		
ES_Multifin		acc: 0.4739 ± 0.0330; missing: 0.0130 ± 0.0075; f1: 0.4436; macro_f1: 0.4479; mcc: 0.3644
		
ES_EFP		acc: 0.2703 ± 0.074; missing: 0.0000 ± 0.000; f1: 0.1150; macro_f1: 0.1418; mcc: 0.0000
		
ES_EFPA		acc: 0.2632 ± 0.0292; missing: 0.0000 ± 0.0000; f1: 0.1283; macro_f1: 0.1259; mcc: 0.0463
		
ES_FNS		Can't get BARTScore; unpickling error
		
ES_TSA		acc: 0.1131 ± 0.0051; missing: 0.8362 ± 0.0060; f1: 0.1945; macro_f1: 0.1367; mcc: 0.0784
