AIDC-AI/Marco-o1		AIDC-AI/Marco-o1
		
NER		entity_f1: 0.0608
		
FINER-ORD		entity_f1: 0.0268; f1: 0.0966
		
FinRED		precision: 0.0017; recall: 0.0043; f1: 0.0024
		
SC		acc: 0.7863 ± 0.0044; missing: 0.0001 ± 0.0001; f1: 0.8333; macro_f1: 0.5551; mcc: 0.1825
		
CD		entity_f1: 0.0000; f1: 0.0012
		
FNXL		entity_f1: 0.000; f1: 0.041
		
FSRL		entity_f1: 0.0023; f1: 0.0328
		
FPB		acc: 0.7186 ± 0.0144; missing: 0.0093 ± 0.0031; f1: 0.7038; macro_f1: 0.6814; mcc: 0.4591
		
FiQA-SA		acc: 0.1872 ± 0.0255; missing: 0.3191 ± 0.0305; f1: 0.2255; macro_f1: 0.2318; mcc: 0.1146
		
TSA		rmse: 0.3736; missing: 0.0000 ± 0
		
Headlines		avg_f1: 0.5995
		
FOMC		acc: 0.6230 ± 0.0218; missing: 0.0000 ± 0.0000; f1: 0.5856; macro_f1: 0.5451; mcc: 0.3779
		
FinArg-ACC		acc: 0.5531 ±  0.016; missing: 0.0000 ±  0.000; f1: 0.4405; macro_f1: 0.4275; mcc: 0.1379
		
FinArg-ARC		acc: 0.4768 ±  0.019; missing: 0.0000 ±  0.000; f1: 0.4725; macro_f1: 0.3203; mcc: 0.1850
		
MultiFin		acc: 0.6062 ± 0.0209; missing: 0.0018 ± 0.0018; f1: 0.5985; macro_f1: 0.5955; mcc: 0.5279
		
MA		0.8440 ± 0.0162; missing: 0.0000 ± 0.0000; f1: 0.8439; macro_f1: 0.8439; mcc: 0.6888
		
MLESG		acc: 0.4000 ± 0.0283; missing: 0.0200 ± 0.0081; f1: 0.3607; macro_f1: 0.3275; mcc: 0.3768
		
FinQA		acc: 0 ± 0
		
TATQA		acc: 0.0006 ± 0.0006
		
Regulations		
		
ConvFinQA		acc: 0 ± 0
		
EDTSUM		Can't get BARTScore; unpickling error
		
ECTSUM		Can't get BARTScore; unpickling error
		
BigData22		acc: 0.5632 ± 0.0129; missing: 0.0000 ± 0.0000; f1: 0.5351; macro_f1: 0.5201; mcc: 0.0863
		
ACL18		acc: 0.5118 ± 0.0082; missing: 0.0000 ± 0.0000; f1: 0.4381; macro_f1: 0.4326; mcc: 0.0073
		
CIKM18		acc: 0.5722 ± 0.0146; missing: 0.0000 ± 0.0000; f1: 0.4797; macro_f1: 0.4345; mcc: 0.0194
		
German		acc:  0.4750 ± 0.0354; missing:  0.0000 ± 0.0000; f1:  0.4870; macro_f1:  0.4691; mcc: -0.0157
		
Australian		acc:  0.4173 ±  0.042; missing:  0.0000 ±  0.000; f1:  0.3322; macro_f1:  0.3587; mcc: -0.0965
		
LendingClub		acc: 0.5466 ± 0.0096; missing: 0.0000 ± 0.0000; f1: 0.5908; macro_f1: 0.5170; mcc: 0.2146
		
ccf		acc: 0.9987 ± 0.0008; missing: 0.0000 ± 0.0000; f1: 0.9980; macro_f1: 0.4997; mcc: 0.0000
		
ccfraud		acc: 0.7140 ± 0.0099; missing: 0.0000 ± 0.0000; f1: 0.7898; macro_f1: 0.5419; mcc: 0.2834
		
polish		acc:  0.9482 ± 0.0053; missing:  0.0000 ± 0.0000; f1:  0.9235; macro_f1:  0.4867; mcc: -0.0056
		
taiwan		acc: 0.9678 ± 0.0048; missing: 0.0000 ± 0.0000; f1: 0.9519; macro_f1: 0.4918; mcc: 0.0000
		
portoseguro		acc: 0.9678 ± 0.0048; missing: 0.0000 ± 0.0000; f1: 0.9519; macro_f1: 0.4918; mcc: 0.0000
		
travelinsurance		acc: 0.8279 ± 0.0075; missing: 0.0000 ± 0.0000; f1: 0.8925; macro_f1: 0.4747; mcc: 0.0326
		
ES_FinanceES		acc:  0.1609 ± 0.0046; missing:  0.1654 ± 0.0047; f1:  0.1621; macro_f1:  0.1787; mcc: -0.1642
		
ES_Multifin		acc: 0.3783 ± 0.0320; missing: 0.0652 ± 0.0163; f1: 0.3806; macro_f1: 0.3905; mcc: 0.2618
		
ES_EFP		acc: 0.2703 ±  0.074; missing: 0.0000 ±  0.000; f1: 0.1150; macro_f1: 0.1418; mcc: 0.0000
		
ES_EFPA		acc: 0.2544 ± 0.0289; missing: 0.0000 ± 0.0000; f1: 0.1032; macro_f1: 0.1014; mcc: 0.0000
		
ES_FNS		Can't get BARTScore; unpickling error
		
ES_TSA		acc: 0.0316 ± 0.0028; missing: 0.9415 ± 0.0038; f1: 0.0597; macro_f1: 0.0606; mcc: 0.0583
