Qwen/Qwen2.5-7B-Instruct		Qwen/Qwen2.5-7B-Instruct
		
NER		entity_f1: 0.2558
		
FINER-ORD		entity_f1: 0.0628; f1: 0.1305
		
FinRED		precision: 0.0052; recall: 0.0141; f1: 0.0076
		
SC		acc: 0.8924  ±  0.0033; missing: 0.0001  ±  0.0001; f1: 0.8919; macro_f1: 0.5614; mcc: 0.1227
		
CD		entity_f1: 0.000; f1: 0.009
		
FNXL		entity_f1: 0.0000; f1: 0.1137
		
FSRL		acc: 0.4691  ±  0.016; missing: 0.0247  ±  0.005; f1: 0.4627; macro_f1: 0.5542; mcc: 0.2790
		
FPB		acc: 0.4691  ±  0.016; missing: 0.0247  ±  0.005; f1: 0.4627; macro_f1: 0.5542; mcc: 0.2790
		
FiQA-SA		acc: 0.1574  ±  0.0238; missing: 0.4809  ±  0.0327; f1: 0.1910; macro_f1: 0.2267; mcc: 0.1271
		
TSA		rmse: 0.3041; missing: 0.0000  ±  0
		
Headlines		avg_f1: 0.5995
		
FOMC		acc: 0.6250  ±  0.0218; missing: 0.0000  ±  0.0000; f1: 0.6105; macro_f1: 0.5793; mcc: 0.3787
		
FinArg-ACC		acc: 0.5552  ±  0.016; missing: 0.0000  ±  0.000; f1: 0.4483; macro_f1: 0.4357; mcc: 0.1394
		
FinArg-ARC		acc: 0.5029  ±  0.019; missing: 0.0000  ±  0.000; f1: 0.4970; macro_f1: 0.3376; mcc: 0.2531
		
MultiFin		acc: 0.6117  ±  0.0209; missing: 0.0000  ±  0.0000; f1: 0.6193; macro_f1: 0.6011; mcc: 0.5395
		
MA		acc: 0.8480  ±  0.0161; missing: 0.0000  ±  0.0000; f1: 0.8473; macro_f1: 0.8473; mcc: 0.7025
		
MLESG		acc: 0.3800  ±  0.0281; missing: 0.0067  ±  0.0047; f1: 0.3265; macro_f1: 0.2957; mcc: 0.3546
		
FinQA		acc: 0  ±  0
		
TATQA		acc: 0  ±  0
		
Regulations		
		
ConvFinQA		acc: 0  ±  0
		
EDTSUM		Can't get BARTScore; unpickling error
		
ECTSUM		Can't get BARTScore; unpickling error
		
BigData22		acc: 0.4986  ±  0.013; missing: 0.0000  ±  0.000; f1: 0.4912; macro_f1: 0.4954; mcc: 0.0261
		
ACL18		acc: 0.5030  ±  0.0082; missing: 0.0000  ±  0.0000; f1: 0.5028; macro_f1: 0.5029; mcc: 0.0071
		
CIKM18		acc: 0.5389  ±  0.0148; missing: 0.0000  ±  0.0000; f1: 0.5329; macro_f1: 0.5158; mcc: 0.0351
		
German		acc:  0.3700  ±  0.0342; missing:  0.0000  ±  0.0000; f1:  0.3067; macro_f1 0.3464; mcc: -0.0532
		
Australian		acc: 0.4892  ±  0.0426; missing: 0.0000  ±  0.0000; f1: 0.4078; macro_f1: 0.4323; mcc: 0.1323
		
LendingClub		acc: 0.5760  ±  0.0095; missing: 0.0000  ±  0.0000; f1: 0.6211; macro_f1: 0.5207; mcc: 0.1441
		
ccf		acc: 0.9495  ±  0.0046; missing: 0.0000  ±  0.0000; f1: 0.9729; macro_f1: 0.5039; mcc: 0.1017
		
ccfraud		acc: 0.8136  ±  0.0085; missing: 0.0000  ±  0.0000; f1: 0.8587; macro_f1: 0.6094; mcc: 0.3347
		
polish		acc: 0.9096  ±  0.0069; missing: 0.0000  ±  0.0000; f1: 0.9121; macro_f1: 0.5608; mcc: 0.1219
		
taiwan		acc: 0.9678  ±  0.0048; missing: 0.0000  ±  0.0000; f1: 0.9519; macro_f1: 0.4918; mcc: 0.0000
		
portoseguro		acc: 0.8627  ±  0.0071; missing: 0.0000  ±  0.0000; f1: 0.8995; macro_f1: 0.4863; mcc: -0.0015
		
travelinsurance		acc: 0.9850  ±  0.0024; missing: 0.0000  ±  0.0000; f1: 0.9776; macro_f1: 0.4962; mcc: 0.0000
		
ES_FinanceES		acc:  0.2626  ±  0.0055; missing:  0.0403  ±  0.0025; f1:  0.2665; macro_f1 0.2521; mcc: -0.1222
		
ES_Multifin		acc: 0.4652  ±  0.0330; missing: 0.0609  ±  0.0158; f1: 0.4871; macro_f1: 0.4930; mcc: 0.3565
		
ES_EFP		acc: 0.2703  ±  0.074; missing: 0.0000  ±  0.000; f1: 0.1150; macro_f1: 0.1418; mcc: 0.0000
		
ES_EFPA		acc: 0.2544  ±  0.0289; missing: 0.0000  ±  0.0000; f1: 0.1032; macro_f1: 0.1014; mcc: 0.0000
		
ES_FNS		Can't get BARTScore; unpickling error
		
ES_TSA		acc: 0.0614  ±  0.0039; missing: 0.8470  ±  0.0058; f1: 0.1046; macro_f1: 0.1174; mcc: 0.0819
