tiiuae/falcon-7b-instruct		tiiuae/falcon-7b-instruct
		
NER		entity_f1: 0
		
FINER-ORD		entity_f1: 0; f1: 0
		
FinRED		precision: 0; recall: 0; f1: 0
		
SC		acc: 0.1044 ± 0.0033; missing: 0.0032 ± 0.0006; f1: 0.0822; macro_f1: 0.1039; mcc: 0.0488
		
CD		entity_f1: 0; f1: 0
		
FNXL		entity_f1: 0; f1: 0
		
FSRL		entity_f1: 0; f1: 0
		
FPB		acc: 0.6443 ± 0.0154; missing: 0.0000 ± 0.0000; f1: 0.6435; macro_f1: 0.6085; mcc: 0.3964
		
FiQA-SA		acc: 0.7660 ± 0.0277; missing: 0.0000 ± 0.0000; f1: 0.7446; macro_f1: 0.5557; mcc: 0.5419
		
TSA		rmse: 0.4105; missing: 0.0053 ± 0.0031
		
Headlines		avg_f1: 0.4471
		
FOMC		acc:  0.2984 ± 0.0206; missing: 0.0000 ± 0.0000; f1: 0.2887; macro_f1: 0.2962; mcc: -0.0192
		
FinArg-ACC		acc:  0.3416 ± 0.0152; missing: 0.2848 ± 0.0145; f1: 0.3729; macro_f1: 0.3782; mcc: -0.0133
		
FinArg-ARC		acc:  0.6899 ± 0.0176; missing: 0.0000 ± 0.0000; f1: 0.5703; macro_f1: 0.2722; mcc: -0.0599
		
MultiFin		acc: 0.2857 ± 0.0194; missing: 0.0275 ± 0.0070; f1: 0.1911; macro_f1: 0.2205; mcc: 0.1746
		
MA		acc: 0.5040 ± 0.0224; missing: 0.0000 ± 0.0000; f1: 0.3490; macro_f1: 0.3490; mcc: 0.0367
		
MLESG		acc: 0.0500 ± 0.0126; missing: 0.1733 ± 0.0219; f1: 0.0517; macro_f1: 0.0302; mcc: 0.0538
		
FinQA		acc: 0.0017 ± 0.0012
		
TATQA		acc: 0.0659 ± 0.0061
		
Regulations		acc: 0 ± 0
		
ConvFinQA		acc: 0 ± 0
		
EDTSUM		Can't get BARTScore; unpickling error
		
ECTSUM		Can't get BARTScore; unpickling error
		
BigData22		acc: 0.5523 ± 0.013; missing: 0.0000 ± 0.000; f1: 0.3930; macro_f1: 0.3558; mcc: 0.0000
		
ACL18		acc:  0.5062 ± 0.0082; missing: 0.0000 ± 0.0000; f1: 0.4553; macro_f1: 0.4508; mcc: -0.0042
		
CIKM18		acc:  0.4366 ± 0.0147; missing: 0.0000 ± 0.0000; f1: 0.3588; macro_f1: 0.3870; mcc: -0.0128
		
German		acc: 0.6600 ± 0.0336; missing: 0.0000 ± 0.0000; f1: 0.5248; macro_f1: 0.3976; mcc: 0.0000
		
Australian		acc: 0.4317 ± 0.0422; missing: 0.0000 ± 0.0000; f1: 0.2603; macro_f1: 0.3015; mcc: 0.0000
		
LendingClub		acc: 0.8082 ± 0.0076; missing: 0.0000 ± 0.0000; f1: 0.7225; macro_f1: 0.4470; mcc: 0.0000
		
ccf		acc:  0.9798 ± 0.0029; missing: 0.0000 ± 0.0000; f1: 0.9885; macro_f1: 0.4949; mcc: -0.0050
		
ccfraud		acc:  0.5510 ± 0.0109; missing: 0.0000 ± 0.0000; f1: 0.6682; macro_f1: 0.3675; mcc: -0.1512
		
polish		acc: 0.9488 ± 0.0053; missing: 0.0000 ± 0.0000; f1: 0.9238; macro_f1: 0.4869; mcc: 0.0000
		
taiwan		acc: 0.9678 ± 0.0048; missing: 0.0000 ± 0.0000; f1: 0.9519; macro_f1: 0.4918; mcc: 0.0000
		
portoseguro		acc: 0.9698 ± 0.0035; missing: 0.0000 ± 0.0000; f1: 0.9549; macro_f1: 0.4923; mcc: 0.0000
		
travelinsurance		acc: 0.5592 ± 0.0099; missing: 0.0000 ± 0.0000; f1: 0.7029; macro_f1: 0.3827; mcc: 0.0906
		
ES_FinanceES		acc:  0.0418 ± 0.0025; missing: 0.5570 ± 0.0062; f1: 0.0316; macro_f1: 0.0558; mcc: -0.0178
		
ES_Multifin		acc: 0.0478 ± 0.0141; missing: 0.9174 ± 0.0182; f1: 0.0817; macro_f1: 0.0789; mcc: 0.0936
		
ES_EFP		acc:  0.2973 ± 0.0762; missing: 0.0000 ± 0.0000; f1: 0.2674; macro_f1: 0.2712; mcc: -0.0489
		
ES_EFPA		acc:  0.2807 ± 0.0298; missing: 0.0088 ± 0.0062; f1: 0.1833; macro_f1: 0.1644; mcc: -0.0007
		
ES_FNS		Can't get BARTScore; unpickling error
		
ES_TSA		acc:  0.1907 ± 0.0063; missing: 0.6754 ± 0.0076; f1: 0.2616; macro_f1: 0.1599; mcc: -0.0034
