		mistralai/Mistral-7B-Instruct-v0.3
		
NER		entity_f1|0.1483
		
FINER-ORD		entity_f1: 0.0035; f1: 0.0061
		
FinRED		precision: 0; recall: 0; f1: 0
		
SC		acc: 0.7979 ± 0.0043; missing: 0.0002 ± 0.0002; f1: 0.8384; macro_f1: 0.5368; mcc: 0.1186
		
CD		entity_f1: 0; f1: 0
		
FNXL		entity_f1: 0.0000; f1: 0.0094
		
FSRL		entity_f1: 0.0000; f1: 0.0023
		
FPB		acc: 0.6619 ± 0.0152; missing: 0.0000 ± 0.0000; f1: 0.6704; macro_f1: 0.6972; mcc: 0.4652
		
FiQA-SA		acc: 0.6170 ± 0.0318; missing: 0.0000 ± 0.0000; f1: 0.6622; macro_f1: 0.5394; mcc: 0.4461
		
TSA		rmse: 0.2775; missing: 0.0000 ± 0
		
Headlines		avg_f1: 0.6853
		
FOMC		acc: 0.5363 ± 0.0224; missing: 0.0000 ± 0.0000; f1: 0.4279: macro_f1: 0.3513; mcc: 0.2045
		
FinArg-ACC		acc: 0.4716 ± 0.0160; missing: 0.0114 ± 0.0034; f1: 0.3710; macro_f1: 0.3824; mcc: -0.0094
		
FinArg-ARC		acc: 0.6594 ± 0.0181; missing: 0.0000 ± 0.0000; f1: 0.6604; macro_f1: 0.4005; mcc: 0.2106
		
MultiFin		acc: 0.5678 ± 0.0212; missing: 0.0220 ± 0.0063; f1: 0.5494; macro_f1: 0.5460; mcc: 0.4848
		
MA		acc: 0.8420 ± 0.0163; missing: 0.0000 ± 0.0000; f1: 0.8417; macro_f1: 0.8417; mcc: 0.6864
		
MLESG		acc: 0.3800 ± 0.0281; missing: 0.0433 ± 0.0118; f1: 0.3313; macro_f1: 0.3013; mcc: 0.3587
		
FinQA		acc: 0 ± 0
		
TATQA		acc 0.0174 ± 0.0032
		
Regulations		
		
ConvFinQA		acc 0 ± 0
		
EDTSUM		Can't get BARTScore; unpickling error
		
ECTSUM		Can't get BARTScore; unpickling error
		
BigData22		acc: 0.5503 ± 0.013; missing: 0.0000 ± 0.000; f1: 0.5399; macro_f1: 0.5450; mcc: 0.1421
		
ACL18		acc: 0.5110 ± 0.0082; missing: 0.0000 ± 0.0000; f1: 0.5093; macro_f1: 0.5099; mcc: 0.0253
		
CIKM18		acc: 0.4952 ± 0.0148; missing: 0.0000 ± 0.0000; f1: 0.4936; macro_f1: 0.4950; mcc: 0.0230
		
German		acc: 0.3350 ± 0.0335; missing: 0.0000 ± 0.0000; f1: 0.2241; macro_f1: 0.2848; mcc: -0.1162
		
Australian		acc: 0.4317 ± 0.0422; missing: 0.0000 ± 0.0000; f1: 0.3628; macro_f1: 0.3857; mcc: -0.0598
		
LendingClub		acc: 0.5478 ± 0.0096; missing: 0.0000 ± 0.0000; f1: 0.5935; macro_f1: 0.5118; mcc: 0.1797
		
ccf		acc: 0.0500 ± 0.0046; missing: 0.0000 ± 0.0000; f1: 0.0929; macro_f1: 0.0479; mcc: 0.0082
		
ccfraud		acc: 0.1973 ± 0.0087; missing: 0.0000 ± 0.0000; f1: 0.2592; macro_f1: 0.1897; mcc: 0.0066
		
polish		acc: 0.7588 ± 0.0103; missing: 0.0000 ± 0.0000; f1: 0.8237; macro_f1: 0.5162; mcc: 0.1379
		
taiwan		acc: 0.8132 ± 0.0106; missing: 0.0000 ± 0.0000; f1: 0.8689; macro_f1: 0.4671; mcc: 0.0239
		
portoseguro		acc: 0.0563 ± 0.0047; missing: 0.0000 ± 0.0000; f1: 0.0548; macro_f1: 0.0563; mcc: -0.0139
		
travelinsurance		acc: 0.0450 ± 0.0041; missing: 0.0000 ± 0.0000; f1: 0.0587; macro_f1: 0.0448; mcc: 0.0217
		
ES_FinanceES		acc: 0.1909 ± 0.0049; missing: 0.0473 ± 0.0027; f1: 0.1942; macro_f1: 0.1968; mcc: -0.3973
		
ES_Multifin		acc: 0.3652 ± 0.0318; missing: 0.0130 ± 0.0075; f1: 0.3167; macro_f1: 0.3270; mcc: 0.2504
		
ES_EFP		acc: 0.2703 ± 0.074; missing: 0.0000 ± 0.000; f1: 0.1150; macro_f1: 0.1418; mcc: 0.0000
		
ES_EFPA		acc: 0.2588 ± 0.0291; missing: 0.0000 ± 0.0000; f1: 0.1133; macro_f1: 0.1102; mcc: 0.0269
		
ES_FNS		Can't get BARTScore; unpickling error
		
ES_TSA		acc: 0.5040 ± 0.0081; missing: 0.3202 ± 0.0075; f1: 0.5994; macro_f1: 0.4464; mcc: 0.3248
